CLIENTNUM,Churn_Probability,Customer_Value,Optimal_Action,Intervention_Cost,Expected_Incremental_Profit,Customer ROI
711156858,98.07%,0.7107,RETENTION,100,109.11,109.11%
757247808,98.06%,0.6999,RETENTION,100,105.90,105.90%
715051608,99.22%,0.6895,RETENTION,100,105.25,105.25%
759584958,96.55%,0.7063,RETENTION,100,104.57,104.57%
715154058,98.15%,0.6926,RETENTION,100,103.93,103.93%
715671183,98.88%,0.6849,RETENTION,100,103.18,103.18%
713281833,96.41%,0.6986,RETENTION,100,102.07,102.07%
717047583,98.86%,0.6805,RETENTION,100,101.81,101.81%
709259958,97.27%,0.6899,RETENTION,100,101.32,101.32%
716260833,98.30%,0.6611,RETENTION,100,94.95,94.95%
717439983,97.72%,0.6598,RETENTION,100,93.43,93.43%
708841233,98.07%,0.6565,RETENTION,100,93.13,93.13%
789175683,96.85%,0.6618,RETENTION,100,92.29,92.29%
715321008,97.97%,0.6456,RETENTION,100,89.74,89.74%
714391683,94.49%,0.6583,RETENTION,100,86.62,86.62%
716238483,93.88%,0.6618,RETENTION,100,86.38,86.38%
717060858,94.80%,0.6541,RETENTION,100,86.03,86.03%
770038983,91.84%,0.673,RETENTION,100,85.42,85.42%
710178558,87.52%,0.6939,RETENTION,100,82.20,82.20%
711149133,89.79%,0.6754,RETENTION,100,81.93,81.93%
709657533,96.71%,0.6195,RETENTION,100,79.73,79.73%
710047533,95.98%,0.6203,RETENTION,100,78.61,78.61%
709383933,90.51%,0.6534,RETENTION,100,77.42,77.42%
820666083,86.82%,0.6716,RETENTION,100,74.92,74.92%
716893683,98.96%,0.5836,RETENTION,100,73.26,73.26%
771561183,90.33%,0.6321,RETENTION,100,71.29,71.29%
719847108,86.30%,0.6542,RETENTION,100,69.36,69.36%
710170758,89.36%,0.631,RETENTION,100,69.14,69.14%
713437008,95.81%,0.5831,RETENTION,100,67.60,67.60%
716881683,97.71%,0.5688,RETENTION,100,66.73,66.73%
709608708,79.54%,0.6985,RETENTION,100,66.67,66.67%
713399583,91.41%,0.6045,RETENTION,100,65.78,65.78%
716721483,92.64%,0.5938,RETENTION,100,65.03,65.03%
715327683,98.50%,0.5497,RETENTION,100,62.46,62.46%
716199408,97.33%,0.5468,RETENTION,100,59.65,59.65%
710638233,83.15%,0.6229,RETENTION,100,55.39,55.39%
714615258,81.36%,0.6336,RETENTION,100,54.64,54.64%
771097683,91.67%,0.5477,RETENTION,100,50.62,50.62%
718333983,75.78%,0.6374,RETENTION,100,44.91,44.91%
714337233,75.37%,0.6382,RETENTION,100,44.31,44.31%
714959358,78.04%,0.6158,RETENTION,100,44.16,44.16%
710162133,98.57%,0.487,RETENTION,100,44.01,44.01%
789817833,79.17%,0.6016,RETENTION,100,42.90,42.90%
708319908,93.21%,0.5064,RETENTION,100,41.59,41.59%
719582058,86.37%,0.5457,RETENTION,100,41.40,41.40%
801380808,86.32%,0.5448,RETENTION,100,41.08,41.08%
720531633,98.81%,0.4719,RETENTION,100,39.90,39.90%
712662783,99.39%,0.469,RETENTION,100,39.84,39.84%
794719983,99.71%,0.4671,RETENTION,100,39.71,39.71%
716136333,98.12%,0.4739,RETENTION,100,39.52,39.52%
716279508,98.63%,0.4711,RETENTION,100,39.39,39.39%
718863258,99.80%,0.4652,RETENTION,100,39.27,39.27%
768243858,97.89%,0.4737,RETENTION,100,39.11,39.11%
718711158,98.09%,0.4724,RETENTION,100,39.03,39.03%
708809283,99.88%,0.4636,RETENTION,100,38.89,38.89%
779055033,72.56%,0.6374,RETENTION,100,38.76,38.76%
711871758,98.80%,0.466,RETENTION,100,38.13,38.13%
787747308,98.71%,0.4662,RETENTION,100,38.06,38.06%
789497283,90.13%,0.5096,RETENTION,100,37.79,37.79%
780720258,97.13%,0.4726,RETENTION,100,37.70,37.70%
778191933,99.70%,0.4599,RETENTION,100,37.56,37.56%
809464608,96.95%,0.4728,RETENTION,100,37.51,37.51%
789412458,83.77%,0.5468,RETENTION,100,37.43,37.43%
712623258,99.56%,0.4588,RETENTION,100,37.05,37.05%
712841883,73.45%,0.6218,RETENTION,100,37.02,37.02%
712563408,99.35%,0.4596,RETENTION,100,36.99,36.99%
709581483,98.48%,0.4622,RETENTION,100,36.55,36.55%
708384033,99.31%,0.4567,RETENTION,100,36.07,36.07%
715445058,95.65%,0.4736,RETENTION,100,35.91,35.91%
718311933,96.37%,0.4693,RETENTION,100,35.70,35.70%
812218908,94.26%,0.4797,RETENTION,100,35.66,35.66%
780143283,96.34%,0.4694,RETENTION,100,35.66,35.66%
714127383,98.97%,0.4559,RETENTION,100,35.36,35.36%
712795833,98.24%,0.4588,RETENTION,100,35.21,35.21%
718913358,95.52%,0.4717,RETENTION,100,35.18,35.18%
802247658,99.02%,0.4546,RETENTION,100,35.05,35.05%
720962208,90.71%,0.4961,RETENTION,100,35.00,35.00%
738899658,96.55%,0.4654,RETENTION,100,34.79,34.79%
721308033,95.56%,0.4701,RETENTION,100,34.77,34.77%
708190158,97.58%,0.4603,RETENTION,100,34.75,34.75%
711691608,98.86%,0.4541,RETENTION,100,34.69,34.69%
721041483,99.21%,0.4508,RETENTION,100,34.18,34.18%
715516458,97.94%,0.456,RETENTION,100,33.98,33.98%
712434708,94.51%,0.4725,RETENTION,100,33.97,33.97%
713755458,93.30%,0.4784,RETENTION,100,33.91,33.91%
711646908,98.97%,0.4501,RETENTION,100,33.63,33.63%
721437333,98.74%,0.4506,RETENTION,100,33.49,33.49%
712267983,95.50%,0.4657,RETENTION,100,33.41,33.41%
714894708,93.48%,0.4757,RETENTION,100,33.40,33.40%
708373083,98.35%,0.4508,RETENTION,100,33.01,33.01%
715825458,79.41%,0.5579,RETENTION,100,32.90,32.90%
715660308,97.69%,0.4535,RETENTION,100,32.90,32.90%
712656783,96.96%,0.4557,RETENTION,100,32.56,32.56%
815085708,99.20%,0.4451,RETENTION,100,32.46,32.46%
814483608,99.17%,0.4451,RETENTION,100,32.42,32.42%
714202008,97.28%,0.4536,RETENTION,100,32.37,32.37%
741517458,98.89%,0.4455,RETENTION,100,32.17,32.17%
779320008,96.52%,0.4557,RETENTION,100,31.97,31.97%
720742083,97.82%,0.4495,RETENTION,100,31.92,31.92%
715530258,95.25%,0.4615,RETENTION,100,31.87,31.87%
788030208,98.43%,0.4465,RETENTION,100,31.86,31.86%
798041508,98.59%,0.4457,RETENTION,100,31.84,31.84%
712721358,96.58%,0.4517,RETENTION,100,30.87,30.87%
712611108,94.96%,0.4591,RETENTION,100,30.79,30.79%
709163358,98.86%,0.4406,RETENTION,100,30.69,30.69%
791730183,98.73%,0.441,RETENTION,100,30.61,30.61%
714727833,94.97%,0.4583,RETENTION,100,30.58,30.58%
712691883,98.78%,0.44,RETENTION,100,30.38,30.38%
720085233,95.44%,0.4553,RETENTION,100,30.37,30.37%
721351983,93.04%,0.4668,RETENTION,100,30.28,30.28%
778781508,93.35%,0.4649,RETENTION,100,30.20,30.20%
806140383,95.88%,0.4525,RETENTION,100,30.15,30.15%
720251358,93.95%,0.4602,RETENTION,100,29.71,29.71%
708158133,94.47%,0.456,RETENTION,100,29.24,29.24%
710662158,95.17%,0.4514,RETENTION,100,28.89,28.89%
769152783,97.54%,0.4391,RETENTION,100,28.49,28.49%
713390433,70.13%,0.6094,RETENTION,100,28.20,28.20%
714100008,93.35%,0.4556,RETENTION,100,27.59,27.59%
828294933,93.30%,0.4543,RETENTION,100,27.17,27.17%
711410958,66.49%,0.6361,RETENTION,100,26.88,26.88%
714820158,98.51%,0.4287,RETENTION,100,26.71,26.71%
709100283,88.35%,0.4774,RETENTION,100,26.53,26.53%
719449533,98.68%,0.4254,RETENTION,100,25.94,25.94%
717146208,87.87%,0.4774,RETENTION,100,25.84,25.84%
709646433,95.01%,0.4405,RETENTION,100,25.57,25.57%
713425383,91.67%,0.4555,RETENTION,100,25.25,25.25%
805524708,88.73%,0.4697,RETENTION,100,25.04,25.04%
716609433,76.01%,0.5478,RETENTION,100,24.92,24.92%
716315508,97.31%,0.4277,RETENTION,100,24.85,24.85%
716306583,90.23%,0.4606,RETENTION,100,24.68,24.68%
708584208,89.92%,0.462,RETENTION,100,24.63,24.63%
716922633,88.43%,0.4698,RETENTION,100,24.62,24.62%
709222008,99.59%,0.4168,RETENTION,100,24.52,24.52%
768490458,99.54%,0.4151,RETENTION,100,23.95,23.95%
716404383,89.71%,0.4603,RETENTION,100,23.87,23.87%
712849158,91.45%,0.4513,RETENTION,100,23.83,23.83%
714272658,99.53%,0.414,RETENTION,100,23.61,23.61%
814840833,88.51%,0.4629,RETENTION,100,22.90,22.90%
709563258,99.35%,0.4114,RETENTION,100,22.62,22.62%
709334658,90.60%,0.4506,RETENTION,100,22.47,22.47%
815908908,86.57%,0.4702,RETENTION,100,22.12,22.12%
714471183,99.60%,0.4081,RETENTION,100,21.93,21.93%
714102183,99.52%,0.4081,RETENTION,100,21.84,21.84%
717664008,99.86%,0.4061,RETENTION,100,21.67,21.67%
708152358,78.73%,0.5151,RETENTION,100,21.67,21.67%
710299608,98.67%,0.4102,RETENTION,100,21.43,21.43%
721003008,98.29%,0.4116,RETENTION,100,21.35,21.35%
711242058,99.87%,0.4044,RETENTION,100,21.17,21.17%
710155158,99.51%,0.4058,RETENTION,100,21.15,21.15%
712292133,96.37%,0.4179,RETENTION,100,20.81,20.81%
710306358,71.25%,0.565,RETENTION,100,20.77,20.77%
708805908,97.62%,0.4088,RETENTION,100,19.71,19.71%
719326758,75.62%,0.5276,RETENTION,100,19.68,19.68%
716124408,79.40%,0.5018,RETENTION,100,19.52,19.52%
823615983,90.81%,0.4378,RETENTION,100,19.27,19.27%
815353083,94.53%,0.42,RETENTION,100,19.12,19.12%
