CLIENTNUM,Attrition_Flag,Churn_Probability,Customer_Value,Total_Trans_Amt,Total_Trans_Ct,Total_Revolving_Bal,Credit_Limit,Avg_Utilization_Ratio,Months_Inactive_12_mon,Recommended_Action,Optimal_Action,Expected_Incremental_Profit,Intervention_Cost,Expected_ROI,Churn_Risk,Customer_Value_Tier
768805383,Existing Customer,0.0015,0.1446,1144,42,777,12691.0,0.061,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
818770008,Existing Customer,0.0004,0.1634,1291,33,864,8256.0,0.105,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
713982108,Existing Customer,0.0016,0.046,1887,20,0,3418.0,0.0,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
769911858,Existing Customer,0.0021,0.4221,1171,20,2517,3313.0,0.76,4,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
709106358,Existing Customer,0.1618,0.0102,816,28,0,4716.0,0.0,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
713061558,Existing Customer,0.0033,0.2175,1088,24,1247,4010.0,0.311,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
810347208,Existing Customer,0.0011,0.3872,1330,31,2264,34516.0,0.066,1,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
818906208,Existing Customer,0.0059,0.2562,1538,36,1396,29081.0,0.048,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
710930508,Existing Customer,0.0006,0.428,1350,24,2517,22352.0,0.113,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Medium
719661558,Existing Customer,0.001,0.2976,1441,32,1677,11656.0,0.144,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
708790833,Existing Customer,0.0039,0.2562,1201,42,1467,6748.0,0.217,3,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
710821833,Existing Customer,0.0005,0.279,1314,26,1587,9095.0,0.174,2,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
710599683,Existing Customer,0.0043,0.0343,1539,17,0,11751.0,0.0,6,ENGAGE,DO NOTHING,0.0,0,0.0,Low,Low
