CLIENTNUM,Attrition_Flag,Churn_Probability,Customer_Value,Total_Trans_Amt,Total_Trans_Ct,Total_Revolving_Bal,Credit_Limit,Avg_Utilization_Ratio,Months_Inactive_12_mon,Recommended_Action,Modeled_Economic_Value,Retention_Benefit,Retention_Profit,Upsell_Benefit,Upsell_Profit,CrossSell_Benefit,CrossSell_Profit,Engagement_Benefit,Engagement_Profit,Optimal_Action,Expected_Incremental_Profit,Intervention_Cost,Expected_ROI
768805383,Existing Customer,0.0015295509947463,0.1446442371466771,1144,42,777,12691.0,0.061,1,ENGAGE,144.64423714667709,0.06637222104360589,-99.93362777895639,7.232211857333855,-67.76778814266615,4.339327114400312,-45.66067288559969,0.7232211857333856,-19.276778814266613,DO NOTHING,0.0,0,0.0
818770008,Existing Customer,0.0003842329315375,0.1633773084761686,1291,33,864,8256.0,0.105,1,ENGAGE,163.3773084761686,0.01883248265475141,-99.98116751734526,8.16886542380843,-66.83113457619157,4.901319254285058,-45.098680745714944,0.8168865423808431,-19.183113457619157,DO NOTHING,0.0,0,0.0
713982108,Existing Customer,0.0016017480520531,0.0459663959051963,1887,20,0,3418.0,0.0,1,ENGAGE,45.9663959051963,0.022087975530314927,-99.97791202446969,2.298319795259815,-72.70168020474019,1.3789918771558891,-48.62100812284411,0.22983197952598153,-19.770168020474017,DO NOTHING,0.0,0,0.0
769911858,Existing Customer,0.0021260129287838,0.4220652052965394,1171,20,2517,3313.0,0.76,4,ENGAGE,422.0652052965394,0.2691948249750694,-99.73080517502493,21.10326026482697,-53.89673973517303,12.661956158896182,-37.33804384110382,2.110326026482697,-17.889673973517304,DO NOTHING,0.0,0,0.0
709106358,Existing Customer,0.1617925465106964,0.0102147546455991,816,28,0,4716.0,0.0,1,ENGAGE,10.2147546455991,0.4958013498280334,-99.50419865017197,0.510737732279955,-74.48926226772005,0.30644263936797306,-49.69355736063203,0.0510737732279955,-19.948926226772006,DO NOTHING,0.0,0,0.0
713061558,Existing Customer,0.0032745990902185,0.2174669640458457,1088,24,1247,4010.0,0.311,1,ENGAGE,217.4669640458457,0.2136351367851317,-99.78636486321487,10.873348202292286,-64.12665179770771,6.524008921375371,-43.47599107862463,1.0873348202292286,-18.912665179770773,DO NOTHING,0.0,0,0.0
810347208,Existing Customer,0.0010514981113374,0.3871662767731556,1330,31,2264,34516.0,0.066,1,ENGAGE,387.16627677315563,0.12213138264015186,-99.87786861735985,19.358313838657782,-55.64168616134222,11.61498830319467,-38.38501169680533,1.9358313838657784,-18.06416861613422,DO NOTHING,0.0,0,0.0
818906208,Existing Customer,0.0059192758053541,0.2561676449702499,1538,36,1396,29081.0,0.048,2,ENGAGE,256.1676449702499,0.45489808289608175,-99.54510191710392,12.808382248512496,-62.191617751487506,7.685029349107497,-42.314970650892505,1.2808382248512498,-18.71916177514875,DO NOTHING,0.0,0,0.0
710930508,Existing Customer,0.0006037082057446,0.4280405029487037,1350,24,2517,22352.0,0.113,2,ENGAGE,428.0405029487037,0.0775234692063534,-99.92247653079365,21.402025147435186,-53.59797485256482,12.84121508846111,-37.15878491153889,2.140202514743519,-17.859797485256482,DO NOTHING,0.0,0,0.0
719661558,Existing Customer,0.0010261533316224,0.2975859714197159,1441,32,1677,11656.0,0.144,3,ENGAGE,297.58597141971586,0.09161065080492892,-99.90838934919508,14.879298570985794,-60.120701429014204,8.927579142591476,-41.072420857408524,1.4879298570985795,-18.512070142901422,DO NOTHING,0.0,0,0.0
708790833,Existing Customer,0.003894415218383,0.2562013359782167,1201,42,1467,6748.0,0.217,3,ENGAGE,256.2013359782167,0.29932631454108694,-99.70067368545891,12.810066798910837,-62.18993320108916,7.686040079346502,-42.313959920653495,1.2810066798910837,-18.718993320108915,DO NOTHING,0.0,0,0.0
