CLIENTNUM,Attrition_Flag,Churn_Probability,Customer_Value,Total_Trans_Amt,Total_Trans_Ct,Total_Revolving_Bal,Credit_Limit,Avg_Utilization_Ratio,Months_Inactive_12_mon,Recommended_Action,Modeled_Economic_Value,Retention_Benefit,Retention_Profit,Upsell_Benefit,Upsell_Profit,CrossSell_Benefit,CrossSell_Profit,Engagement_Benefit,Engagement_Profit,Optimal_Action,Expected_Incremental_Profit,Intervention_Cost,Expected_ROI,Optimization_Action
711156858,Attrited Customer,0.9807004928588868,0.7107488594636697,9819,74,2517,8297.0,0.303,4,RETENTION,710.7488594636698,209.10952703247375,109.10952703247378,35.53744297318349,-39.46255702681651,21.322465783910094,-28.677534216089903,3.553744297318349,-16.44625570268165,RETENTION,109.10952703247378,100,1.091095270324738,RETENTION
757247808,Attrited Customer,0.9805859923362732,0.6999332368977411,9495,61,2517,5230.0,0.481,4,RETENTION,699.9332368977412,205.9034183017534,105.9034183017534,34.99666184488706,-40.00333815511294,20.997997106932235,-29.002002893067765,3.499666184488706,-16.500333815511294,RETENTION,105.9034183017534,100,1.0590341830175338,RETENTION
715051608,Attrited Customer,0.992239475250244,0.6895181929453655,9183,51,2517,9719.0,0.259,3,RETENTION,689.5181929453655,205.2501509830818,105.2501509830818,34.475909647268274,-40.524090352731726,20.68554578836097,-29.31445421163903,3.447590964726828,-16.552409035273172,RETENTION,105.2501509830818,100,1.052501509830818,RETENTION
759584958,Attrited Customer,0.9655144810676576,0.7062654266996442,10156,72,2418,33004.0,0.073,2,RETENTION,706.2654266996442,204.5728490867804,104.57284908678042,35.31327133498221,-39.68672866501779,21.187962800989325,-28.812037199010675,3.531327133498221,-16.468672866501777,RETENTION,104.57284908678042,100,1.0457284908678042,RETENTION
715154058,Attrited Customer,0.981526017189026,0.6925559140981418,9274,65,2517,4982.0,0.505,3,RETENTION,692.5559140981418,203.9284944136363,103.92849441363629,34.62779570490709,-40.37220429509291,20.776677422944253,-29.223322577055747,3.4627795704907096,-16.53722042950929,RETENTION,103.92849441363629,100,1.039284944136363,RETENTION
715671183,Attrited Customer,0.9888468980789183,0.6849115388895071,9045,67,2517,6824.0,0.369,3,RETENTION,684.911538889507,203.18179520680425,103.18179520680424,34.24557694447535,-40.75442305552465,20.54734616668521,-29.452653833314788,3.4245576944475355,-16.575442305552464,RETENTION,103.18179520680424,100,1.0318179520680426,RETENTION
713281833,Attrited Customer,0.9641229510307312,0.6986313564036942,9456,79,2517,13589.0,0.185,2,RETENTION,698.6313564036942,202.06995750555964,102.06995750555964,34.93156782018471,-40.06843217981529,20.95894069211083,-29.04105930788917,3.4931567820184712,-16.50684321798153,RETENTION,102.06995750555964,100,1.0206995750555965,RETENTION
717047583,Attrited Customer,0.9885671138763428,0.6804717925892957,8912,63,2517,4779.0,0.527,3,RETENTION,680.4717925892957,201.8076108222784,101.80761082227838,34.02358962946479,-40.97641037053521,20.41415377767887,-29.58584622232113,3.402358962946479,-16.59764103705352,RETENTION,101.80761082227838,100,1.0180761082227838,RETENTION
709259958,Attrited Customer,0.9726866483688354,0.6899187715589185,9195,73,2517,5541.0,0.454,3,RETENTION,689.9187715589185,201.3224332663166,101.3224332663166,34.49593857794593,-40.50406142205407,20.697563146767557,-29.302436853232447,3.449593857794593,-16.550406142205407,RETENTION,101.3224332663166,100,1.013224332663166,RETENTION
716260833,Attrited Customer,0.9830029606819152,0.6610771113831089,8331,63,2517,4668.0,0.539,3,RETENTION,661.0771113831089,194.9522273185933,94.95222731859326,33.053855569155445,-41.94614443084456,19.83231334149327,-30.16768665850673,3.3053855569155446,-16.694614443084454,RETENTION,94.95222731859326,100,0.9495222731859326,RETENTION
717439983,Attrited Customer,0.9771791100502014,0.6598086124401914,8293,63,2517,14774.0,0.17,3,RETENTION,659.8086124401914,193.4253578123293,93.42535781232934,32.99043062200957,-42.00956937799043,19.794258373205743,-30.205741626794257,3.299043062200957,-16.70095693779904,RETENTION,93.42535781232934,100,0.9342535781232932,RETENTION
708841233,Attrited Customer,0.9806712865829468,0.6564704573272504,8193,72,2517,14682.0,0.171,3,RETENTION,656.4704573272504,193.13451839724303,93.13451839724306,32.823522866362524,-42.17647713363748,19.694113719817512,-30.305886280182488,3.2823522866362524,-16.717647713363746,RETENTION,93.13451839724306,100,0.9313451839724306,RETENTION
789175683,Existing Customer,0.9685443639755248,0.6617781239568266,8352,71,2517,10741.0,0.234,3,RETENTION,661.7781239568266,192.28844164820416,92.28844164820418,33.08890619784133,-41.91109380215867,19.8533437187048,-30.146656281295204,3.308890619784133,-16.691109380215867,RETENTION,92.28844164820418,100,0.922884416482042,RETENTION
715321008,Attrited Customer,0.9797036647796632,0.6455546901079336,7866,63,2517,34516.0,0.073,3,RETENTION,645.5546901079337,189.7356887143327,89.7356887143327,32.27773450539669,-42.72226549460331,19.36664070323801,-30.63335929676199,3.2277734505396687,-16.77222654946033,RETENTION,89.7356887143327,100,0.897356887143327,RETENTION
714391683,Attrited Customer,0.9449409246444702,0.658306442639368,8248,66,2517,34516.0,0.073,3,RETENTION,658.306442639368,186.6182095821169,86.61820958211689,32.9153221319684,-42.0846778680316,19.749193279181043,-30.25080672081896,3.2915322131968403,-16.70846778680316,RETENTION,86.61820958211689,100,0.8661820958211689,RETENTION
716238483,Attrited Customer,0.9387539625167848,0.6617943306534814,9138,76,2352,12918.0,0.182,2,RETENTION,661.7943306534813,186.37861508162968,86.37861508162968,33.08971653267407,-41.91028346732593,19.85382991960444,-30.14617008039556,3.308971653267407,-16.691028346732594,RETENTION,86.37861508162968,100,0.8637861508162967,RETENTION
717060858,Attrited Customer,0.9479647278785706,0.6541337487481919,8123,71,2517,6911.0,0.364,2,RETENTION,654.1337487481918,186.02871633848068,86.02871633848068,32.70668743740959,-42.29331256259041,19.624012462445755,-30.375987537554245,3.270668743740959,-16.72933125625904,RETENTION,86.02871633848068,100,0.8602871633848068,RETENTION
770038983,Attrited Customer,0.918401837348938,0.672994325136308,8688,69,2517,28831.0,0.087,3,RETENTION,672.994325136308,185.42376741917812,85.42376741917815,33.6497162568154,-41.3502837431846,20.18982975408924,-29.81017024591076,3.3649716256815405,-16.63502837431846,RETENTION,85.42376741917815,100,0.8542376741917814,RETENTION
710178558,Attrited Customer,0.8752480149269104,0.6938911761433182,9314,89,2517,34516.0,0.073,3,RETENTION,693.8911761433181,182.1980623484215,82.1980623484215,34.69455880716591,-40.30544119283409,20.816735284299543,-29.183264715700457,3.469455880716591,-16.53054411928341,RETENTION,82.1980623484215,100,0.821980623484215,RETENTION
711149133,Attrited Customer,0.8979183435440063,0.675364415266496,8759,74,2517,4377.0,0.575,1,RETENTION,675.364415266496,181.9266291133976,81.92662911339758,33.768220763324805,-41.2317792366752,20.260932457994883,-29.73906754200512,3.3768220763324805,-16.62317792366752,RETENTION,81.92662911339758,100,0.8192662911339759,RETENTION
709657533,Attrited Customer,0.9671486020088196,0.6194539421905451,8260,54,2270,7793.0,0.291,3,RETENTION,619.453942190545,179.73120425953132,79.73120425953132,30.972697109527253,-44.02730289047275,18.58361826571635,-31.41638173428365,3.0972697109527254,-16.902730289047273,RETENTION,79.73120425953132,100,0.7973120425953133,RETENTION
710047533,Attrited Customer,0.9597735404968262,0.6203055762486396,8614,63,2201,34516.0,0.064,3,RETENTION,620.3055762486396,178.60586373182423,78.60586373182423,31.01527881243198,-43.98472118756802,18.609167287459183,-31.390832712540814,3.1015278812431983,-16.8984721187568,RETENTION,78.60586373182423,100,0.7860586373182423,RETENTION
709383933,Attrited Customer,0.9050763845443726,0.6534327361744743,8102,66,2517,4246.0,0.593,1,RETENTION,653.4327361744743,177.421961519919,77.421961519919,32.67163680872371,-42.32836319127629,19.60298208523423,-30.39701791476577,3.2671636808723714,-16.732836319127628,RETENTION,77.421961519919,100,0.7742196151991899,RETENTION
820666083,Attrited Customer,0.8682026863098145,0.6715922999888728,8646,85,2517,27742.0,0.091,3,RETENTION,671.5922999888728,174.92347168659782,74.92347168659782,33.57961499944364,-41.42038500055636,20.147768999666184,-29.852231000333816,3.3579614999443645,-16.642038500055634,RETENTION,74.92347168659782,100,0.7492347168659782,RETENTION
716893683,Attrited Customer,0.9896486401557922,0.5835651496606209,6009,53,2517,14657.0,0.172,3,ENGAGE,583.5651496606209,173.25733704118346,73.25733704118346,29.178257483031047,-45.82174251696895,17.50695448981863,-32.493045510181375,2.917825748303105,-17.082174251696895,RETENTION,73.25733704118346,100,0.7325733704118346,RETENTION
771561183,Attrited Customer,0.9032586216926576,0.6321353065539113,7464,66,2517,13753.0,0.183,3,RETENTION,632.1353065539113,171.29449971634543,71.29449971634543,31.60676532769557,-43.39323467230443,18.964059196617335,-31.035940803382665,3.160676532769557,-16.839323467230443,RETENTION,71.29449971634543,100,0.7129449971634543,RETENTION
719847108,Attrited Customer,0.8629869222640991,0.6541671302993213,8124,73,2517,8455.0,0.298,3,RETENTION,654.1671302993212,169.36130352700474,69.36130352700474,32.70835651496606,-42.29164348503394,19.62501390897964,-30.37498609102036,3.2708356514966064,-16.729164348503392,RETENTION,69.36130352700474,100,0.6936130352700474,RETENTION
710170758,Attrited Customer,0.8935912251472473,0.630950626205804,8314,67,2331,4469.0,0.522,2,RETENTION,630.950626205804,169.1435829236002,69.1435829236002,31.547531310290204,-43.4524686897098,18.92851878617412,-31.07148121382588,3.1547531310290204,-16.84524686897098,RETENTION,69.1435829236002,100,0.6914358292360021,RETENTION
713437008,Attrited Customer,0.9580559134483336,0.583128404384402,9038,64,1878,6888.0,0.273,2,ENGAGE,583.1284043844021,167.60088483605026,67.60088483605026,29.156420219220102,-45.84357978077989,17.493852131532062,-32.506147868467934,2.915642021922011,-17.08435797807799,RETENTION,67.60088483605026,100,0.6760088483605026,RETENTION
