CLIENTNUM,churn_probability_pct,customer_value,expected_incremental_profit,Intervention_Cost,expected_roi_pct
711156858,98.07,0.711,109.11,100,109.11
757247808,98.06,0.7,105.9,100,105.9
715051608,99.22,0.69,105.25,100,105.25
759584958,96.55,0.706,104.57,100,104.57
715154058,98.15,0.693,103.93,100,103.93
715671183,98.88,0.685,103.18,100,103.18
713281833,96.41,0.699,102.07,100,102.07
717047583,98.86,0.68,101.81,100,101.81
709259958,97.27,0.69,101.32,100,101.32
716260833,98.3,0.661,94.95,100,94.95
